Data;Fornecedor;NomeComercial;Categoria;LojaEntreposto;CodArtigo;DscArtigo;Ean;VPN;TipoArtigo;Marca;Coleccao;Quant;Valor;Column1
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L0775 - WLS PINHAL NOVO;6697571;KUKIDENT PRO PLUS FIRME MASTIG S/SAB 57G;8700216594868;-1;Permanente;KUKIDENT;;9;151,11;WLS PINHAL NOVO
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L3571 - WLS SÃO MARCOS;7637243;KUKIDENT PRO PLUS BARREIRA S/SABOR 40G K;8470001531810;-1;Permanente;KUKIDENT;;1;10,69;WLS SÃO MARCOS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L4677 - WLS MOSCAVIDE;7528978;KUKIDENT PRO ULTIMATE SABOR FRESCO 40G¿;8001841795638;-1;Permanente;KUKIDENT;;1;13,49;WLS MOSCAVIDE
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7001 - dor e febre;L4944 - WLS ERMESINDE;2999157;ILVICO N 20 CP DOR E FEBRE;8665604;-1;Permanente;ILVICO;;14;125,86;WLS ERMESINDE
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L0855 - WLS T VEDRAS MDL;5218361;TESTE GRAVIDEZ 1 MINUTO CLEARBLUE;8700216571104;-1;Permanente;CLEARBLUE;;1;8;WLS T VEDRAS MDL
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L3624 - WLS CAMPO MAIOR;4670511;TESTE GRAVIDEZ INDICADOR SEMAN CLEARBLUE;5013965723407;-1;Permanente;CLEARBLUE;;3;47,4;WLS CAMPO MAIOR
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L7236 - WLS STO AMARO OEIRAS;2997726;VICKS VAPORUB POMADA 100G;5601059001298;-1;Permanente;VICKS;;1;14,28;WLS STO AMARO OEIRAS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7001 - dor e febre;L9785 - WLS VIALONGA;2999157;ILVICO N 20 CP DOR E FEBRE;8665604;-1;Permanente;ILVICO;;27;242,73;WLS VIALONGA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7503 - higiene do bebé;L0743 - WLS TROFA;6394062;BABYRUB 50 GR VICKS;8470001846150;-1;Permanente;VICKS;;1;8,36;WLS TROFA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7101 - suplem. alimentares;L0086 - WLS S JOÃO TALHA;7407622;ZZZQUIL MELATONINA 60 GOMAS;7492603;-1;Permanente;ZZZQUIL;;6;171;WLS S JOÃO TALHA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L4510 - WLS ENTRONCAMENTO;2997726;VICKS VAPORUB POMADA 100G;5601059001298;-1;Permanente;VICKS;;3;42,84;WLS ENTRONCAMENTO
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7001 - dor e febre;L0896 - WLS OURÉM;2999157;ILVICO N 20 CP DOR E FEBRE;8665604;-1;Permanente;ILVICO;;38;341,62;WLS OURÉM
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L0493 - WLS OEIRAS PARQUE;3580611;FIO SUPER-FLOSS ORAL-B 50 FIOS;8700216539005;-1;Permanente;ORAL-B;;30;164,15;WLS OEIRAS PARQUE
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L6085 - WLS CARTAXO;2997715;VICKS INALADOR 1G;5410076916825;-1;Permanente;VICKS;;4;19,8;WLS CARTAXO
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L0695 - WLS SPACIO OLIVAIS;2997726;VICKS VAPORUB POMADA 100G;5601059001298;-1;Permanente;VICKS;;1;14,28;WLS SPACIO OLIVAIS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L0771 - WLS BEJA CNT;8190318;VICKS XAROPE EXPECTORANTE MEL 180ML;8700216325271;-1;Permanente;VICKS;;4;43,96;WLS BEJA CNT
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L2926 - WLS CAMPO GRANDE;2997726;VICKS VAPORUB POMADA 100G;5601059001298;-1;Permanente;VICKS;;1;14,28;WLS CAMPO GRANDE
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L4677 - WLS MOSCAVIDE;5218361;TESTE GRAVIDEZ 1 MINUTO CLEARBLUE;8700216571104;-1;Permanente;CLEARBLUE;;2;16;WLS MOSCAVIDE
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L0082 - WLS MANGUALDE;8375717;KUKIDENT PRO SEM SABOR 70G;8700216594677;-1;Permanente;KUKIDENT;;1;14,56;WLS MANGUALDE
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L3663 - WLS CARNAXIDE;7637243;KUKIDENT PRO PLUS BARREIRA S/SABOR 40G K;8470001531810;-1;Permanente;KUKIDENT;;5;53,45;WLS CARNAXIDE
