Store_Name,Product_Code,Product_Name,Brand,Quantity,Value_Sales_EUR,Source_File,Status
WLS SAO B ALPORTEL,6697571,KUKIDENT PRO PLUS FIRME MASTIG S/SAB 57G,Kukident,3,50.37,portalSOnae,MISSING_IN_DATABRIDGE
WLS Garrett,6394062,BABYRUB 50 GR VICKS,Vicks,1,8.36,portalSOnae,MISSING_IN_DATABRIDGE
WLS FARO MDL,8399872,ZZZQUIL FORTE 60 GOMAS,Zzzquil,4,119.96,portalSOnae,MISSING_IN_DATABRIDGE
WLS CARREGADO,4995991,ELÁS CREME 100GR,Elas,2,31.98,portalSOnae,MISSING_IN_DATABRIDGE
WLS PADRAO DA LEGUA,2999157,ILVICO N 20 CP DOR E FEBRE,Ilvico,14,125.86,portalSOnae,MISSING_IN_DATABRIDGE
WLS Fernão Ornelas,8399872,ZZZQUIL FORTE 60 GOMAS,Zzzquil,6,179.94,portalSOnae,MISSING_IN_DATABRIDGE
WLS ERICEIRA,2997726,VICKS VAPORUB POMADA 100G,Vicks,2,28.56,portalSOnae,MISSING_IN_DATABRIDGE
WLS VILA REAL,2999157,ILVICO N 20 CP DOR E FEBRE,Ilvico,45,404.55,portalSOnae,MISSING_IN_DATABRIDGE
WLS ALMADA RUA,7637243,KUKIDENT PRO PLUS BARREIRA S/SABOR 40G K,Kukident,1,9.62,portalSOnae,MISSING_IN_DATABRIDGE
WLS S MARTINHO,6394062,BABYRUB 50 GR VICKS,Vicks,3,25.08,portalSOnae,MISSING_IN_DATABRIDGE
WLS S FELIX MARINHA,7407622,ZZZQUIL MELATONINA 60 GOMAS,Zzzquil,2,57,portalSOnae,MISSING_IN_DATABRIDGE
WLS LEÇA DO BALIO,2997718,VICKS VAPORUB POMADA 50G,Vicks,4,35.92,portalSOnae,MISSING_IN_DATABRIDGE
WLS POMBAL,3580611,FIO SUPER-FLOSS ORAL-B 50 FIOS,Oral-B,1,5.49,portalSOnae,MISSING_IN_DATABRIDGE
WLS MARCO CANAVESES,8181953,KUKIDENT PRO ULTIMATE SABOR FRESCO 57G,Kukident,1,17.79,portalSOnae,MISSING_IN_DATABRIDGE
WLS CHARNECA CAPARIC,8181953,KUKIDENT PRO ULTIMATE SABOR FRESCO 57G,Kukident,3,53.37,portalSOnae,MISSING_IN_DATABRIDGE
WLS STO ANT CAVALEIR,6697571,KUKIDENT PRO PLUS FIRME MASTIG S/SAB 57G,Kukident,14,235.06,portalSOnae,MISSING_IN_DATABRIDGE
WLS T VEDRAS MDL,6394062,BABYRUB 50 GR VICKS,Vicks,4,33.44,portalSOnae,MISSING_IN_DATABRIDGE
